Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,26,19,19,64
Sweden,24,24,17,65
Great Britain,10,15,16,41
Finland,9,8,9,26
France,7,5,3,15
Germany,6,13,7,26
Italy,5,1,2,8
South Africa,4,2,0,6
Norway,4,1,5,10
Canada,3,2,3,8
Hungary,3,2,3,8
Australasia,2,2,3,7
Belgium,2,1,3,6
Denmark,1,6,5,12
Greece,1,0,1,2
Switzerland,1,0,0,1
Russian Federation,0,2,3,5
Austria,0,2,2,4
Netherlands,0,0,3,3
