Country,gold_medals,silver_medals,bronze_medals,total_medals
Norway,4,3,3,10
Sweden,4,3,3,10
Switzerland,3,4,3,10
United States of America,3,4,2,9
France,2,1,2,5
Canada,2,0,1,3
Austria,1,3,4,8
Finland,1,3,2,6
Belgium,1,1,0,2
Italy,1,0,0,1
Czechoslovakia,0,1,0,1
Hungary,0,1,0,1
Great Britain,0,0,2,2
