Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,8,5,3,16
German Democratic Republic (Germany),4,3,7,14
Switzerland,4,3,3,10
Netherlands,4,3,2,9
United States of America,3,2,3,8
Federal Republic of Germany,3,1,1,5
Norway,2,5,5,12
Italy,2,2,1,5
Austria,1,2,2,5
Sweden,1,1,2,4
Japan,1,1,1,3
Czechoslovakia,1,0,2,3
Poland,1,0,0,1
Spain,1,0,0,1
Finland,0,4,1,5
France,0,1,2,3
Canada,0,1,0,1
