Country,gold_medals,silver_medals,bronze_medals,total_medals
Norway,4,7,6,17
Finland,4,4,3,11
Austria,2,1,0,3
Switzerland,2,0,1,3
United States of America,1,2,1,4
Great Britain,1,1,2,4
Sweden,1,1,0,2
Canada,1,0,0,1
MIX,1,0,0,1
France,0,0,3,3
Belgium,0,0,1,1
