Country,gold_medals,silver_medals,bronze_medals,total_medals
German Democratic Republic (Germany),9,9,6,24
Soviet Union,6,10,9,25
United States of America,4,4,0,8
Finland,4,3,6,13
Sweden,4,2,2,8
Norway,3,2,4,9
Switzerland,2,2,1,5
Federal Republic of Germany,2,1,1,4
Canada,2,1,1,4
Italy,2,0,0,2
Great Britain,1,0,0,1
Czechoslovakia,0,2,4,6
France,0,1,2,3
Yugoslavia,0,1,0,1
Japan,0,1,0,1
Liechtenstein,0,0,2,2
Austria,0,0,1,1
